#OTU ID,Taxonomy,EAT01,EAT02,EAT03,EAT04,EAT05,EAT07,EAT09,EAT10,EAT11,EAT12,EAT13,EAT14,EAT15,EAT16,EAT17,EAT18,EAT19,EAT20,EAT21,EAT22,EAT23,EAT24,EAT25,EAT26,EAT27,EAT28,EAT29,EAT30,EAT31,EAT32,EAT33,EAT34,EAT35,EAT36,EAT38,EAT39,EAT40,EAT41,EAT42,EAT43,EAT44,EAT45,EAT46,EAT47,EAT48,EAT49,EAT50,EAT51,EAT52,EAT53,EAT55,EAT56
Otu63,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__SS1-B-06-26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,137,109,203,131,76,87,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,56,52,2,0,475,367,0,0,0,1,0
Otu630,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__MSBL9;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,0,0,0,146,0,0,0,18,0,0,0,0,0,0,31,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,153,0,0
Otu66,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobacteraceae;D_5__Sva0081 sediment group;D_6__uncultured bacterium,130,0,234,36,11,0,3,44,2,0,0,16,17,0,0,0,4,119,2,0,0,1,23,0,150,1,13,1,13,1,202,0,117,2,377,134,0,2,0,1,268,7,0,1,3,0,0,0,1,431,0,125
Otu663,D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales;D_4__Nitrospiraceae;D_5__Candidatus Magnetobacterium,0,0,0,0,0,190,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu67,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Oceanospirillaceae;D_5__Pseudospirillum;D_6__uncultured gamma proteobacterium,0,0,0,0,0,0,21,1,11,13,121,1,0,0,0,0,0,1,10,0,2,4,0,3,0,5,8,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,33,68,227,882,54,40,15
Otu68,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Oceanospirillaceae;D_5__Pseudospirillum;D_6__uncultured bacterium,0,0,3,0,0,0,44,8,26,41,15,0,0,0,0,0,0,0,48,6,5,0,20,23,8,0,1,7,95,68,3,0,0,9,2,0,0,0,0,2,0,11,7,1,0,122,193,32,53,18,1163,609
Otu69,D_0__Archaea;D_1__Woesearchaeota (DHVEG-6),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,451,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,468,0,0,0,1,1
Otu7,Unassigned,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,1024,687,0,0,0,0,74,4,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,18211,0,0
Otu70,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Oceanospirillaceae;D_5__Oleispira,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,69,55,54,116,0,0,22,6,0,0,5,69,0,0,0,0,0,1,0,0,0,83,35,119,89,282,354,22,140,44,89,6
Otu71,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Labrenzia;Ambiguous_taxa,0,0,0,1,0,0,48,0,0,0,0,25,1473,115,31,33,30,59,44,161,28,54,15,29,8,2,3,4,0,0,3,0,0,1,4,25,142,85,115,136,30,11,17,8,2,42,64,4,6,1,48,28
Otu73,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Peredibacter,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,209,74,494,533,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,5,3,2,0,43,41,0,0,0,0,0
Otu74,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales;D_4__Anaerolineaceae;D_5__uncultured,0,0,1,0,0,1,0,2,0,0,0,0,0,5,52,31,1,33,85,0,0,0,42,49,516,146,31,18,181,139,12,650,219,16,0,0,0,0,0,1,0,0,4,1,0,0,0,3,1,0,0,0
Otu743,D_0__Archaea;D_1__Euryarchaeota;D_2__Methanococci;D_3__Methanococcales;D_4__Methanococcaceae;D_5__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,119,0,0,0,0,0,1,0,119,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu76,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Peredibacter;Ambiguous_taxa,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,411,320,14,34,2,1,10,24,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,35,17,83,48,64,289,24,52,18
Otu77,Unassigned,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,18,2,431,367,245,351,7,3,0,1,0,1,21,0,0,0,3,1,0,0,0,0,0,58,50,18,7,127,159,0,1,33,1,0
Otu78,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae,0,12,9,0,0,0,295,166,66,79,0,0,5,2,3,3,2,11,13,8,16,8,27,31,0,1,4,6,15,7,4,0,2,110,129,0,8,0,0,2,0,10,5,19,6,67,150,54,73,7,170,42
Otu780,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Marine Group III;D_5__uncultured archaeon;D_6__uncultured archaeon,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
