#OTU ID,EAT01,EAT02,EAT03,EAT04,EAT05,EAT07,EAT09,EAT10,EAT11,EAT12,EAT13,EAT14,EAT15,EAT16,EAT17,EAT18,EAT19,EAT20,EAT21,EAT22,EAT23,EAT24,EAT25,EAT26,EAT27,EAT28,EAT29,EAT30,EAT31,EAT32,EAT33,EAT34,EAT35,EAT36,EAT38,EAT39,EAT40,EAT41,EAT42,EAT43,EAT44,EAT45,EAT46,EAT47,EAT48,EAT49,EAT50,EAT51,EAT52,EAT53,EAT55,EAT56
Otu105,244,254,121,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,794,1,71
Otu11,244,4,31,29,1,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,7,27,0,0,942,710,1497,691,0,0,0,0,0,0,0,1,4,1,4,1,0,60,24,0,1,413,577,0,0,0,4386,2679
Otu590,12,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,13,10,39,2,0
Otu515,202,3,0,26,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3421,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu287,124,184,50,261,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0
Otu1093,35,0,0,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2749,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu118,219,115,256,180,114,3,23,0,0,0,27,18,12,1,22,1,1,0,2,0,0,0,0,2,5,2,0,0,1,0,0,0,0,2,3,2,14,2,0,3,0,0,1,1,0,2,8,25,69,12,20,5
Otu53,55,28,44,29,108,95,159,103,24,36,283,86,7,4,110,71,19,11,68,150,7,18,13,6,45,75,39,11,85,8,20,653,40,4,18,91,28,0,4,1,45,5,2,2,0,12,0,46,130,63,1,39
Otu1839,54,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu880,100,2,20,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2109,111,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1,102,78,68,89,35,19,1317,620,2843,2675,2636,1980,3879,368,153,194,346,309,441,255,232,243,4136,3984,1208,888,6296,5317,8332,7018,2027,1348,301,1855,2867,141,111,60,120,277,285,2769,1990,2049,1394,3563,4226,8167,17304,4688,41022,58375
